"country","vil_id","rain","average","dev","pop","dist","nomkt","vdsa_hh_id","tot_acre","genderH","ageH","noadultM","noadultF","nokids","sizehh","farm_cat","aindex","lindex","prcl_id","sur_yr","plot_area","output","price","value","lab_q","fert_q","irr_q","mech_v","pest_v","var1","lny","lnl","lnf","lni","lnm","lnp","irr","lnaindex","lnlindex","lntot_acre","lndist"
"India",119,NA,NA,NA,3600,5,4,119035,1.22000002861023,0,62,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035072,2012,0.0526091828942299,130,13.5,1755,15.1499996185303,20.5,2,235.099998474121,0,1,8.50554626669575,6.3560152967165,6.65843830791375,4.33133189387285,9.09802273687182,0,1,-0.224748037360359,-0.390123289219081,1.02871414099731,2.31243834127275
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119035,0.75,0,61,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035056,2011,0.218530431389809,780,12.8500003814697,10023,27.75,28,0.375,445.5,0,1,8.87327111991599,5.53722852423094,5.54619691860896,1.30890859653458,8.31317448767434,0,1,-0.224748037360359,-0.390123289219081,0.693147180559945,2.31243834127275
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119034,0.870000004768372,0,56,3,4,0,7,"SM",-1.36603343486786,-1.05034697055817,119034032,2011,0.267092764377594,360,12.8500003814697,4626,23,27,0.375,392,0,1,7.89941059841964,5.14883435744896,5.30916775898472,1.14030862208793,7.98456838520957,0,1,-1.1180795258547,-0.91653000118361,0.786401180898749,2.31243834127275
"India",118,NA,NA,NA,3000,4.5,4,118030,1.10000002384186,0,77,3,4,0,7,"SM",-0.877415418624878,0.199576675891876,118030032,2012,0.0971246436238289,400,13.6000003814697,5440,9.19999980926514,42,5.5,600,0,1,9.01637188196108,5.24413864497544,6.76257827529867,4.72973336353784,9.42183698188071,0,1,-0.791985425513776,0.198274990023338,0.950346945858903,2.20934770861533
"India",119,NA,NA,NA,3600,5,4,119039,1.07000005245209,0,52,2,3,1,6,"SM",-1.37814056873322,-0.419596433639526,119039088,2012,0.0283280201256275,50,13.5,675,11.0799999237061,9,1,149,0,1,8.16907411995854,6.66219434286597,6.45427808838977,4.25725159311861,9.26099734926469,0,1,-1.12521049114963,-0.408168100066697,0.930015239484823,2.31243834127275
"India",118,NA,NA,NA,3000,4.5,4,118030,1.10000002384186,0,77,3,4,0,7,"SM",-0.877415418624878,0.199576675891876,118030008,2012,0.198296144604683,720,13.6000003814697,9792,14,64,7.5,1372,0,1,8.89039209741387,4.9502483470805,6.47002634977737,4.32621860279283,9.53516567994903,0,1,-0.791985425513776,0.198274990023338,0.950346945858903,2.20934770861533
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119035,0.75,0,61,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035088,2011,0.145686965435743,600,12.8500003814697,7710,18.5,22,0.6875,300.300003051758,0,1,9.01637188196108,5.53722844752178,5.7104956283509,2.25579058323161,8.32422425599695,0,1,-0.224748037360359,-0.390123289219081,0.693147180559945,2.31243834127275
"India",119,NA,NA,NA,3600,5,4,119035,1.22000002861023,0,62,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035008,2012,0.121405802667141,300,13.5,4050,35.1500015258789,45,6,888,0,1,8.50554629974072,6.36139142821152,6.60842809358236,4.59362559438673,9.59073553180697,0,1,-0.224748037360359,-0.390123289219081,1.02871414099731,2.31243834127275
"India",120,470.766,577.355273529412,0.815383562918159,4494,15,4,120048,1.79999995231628,0,63,1,2,2,5,"MD",0.0743499398231506,-0.11976070702076,120048032,2010,0.121405802667141,112,10,1120,23.1399993896484,18,0,112,120,1,7.52026294919016,5.943333361104,5.69214691481383,0,7.52026294919016,7.5892557828156,0,0.0742816096558688,-0.119476258581446,1.35044071711771,3.40230664548059
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119035,0.75,0,61,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035032,2011,0.303514502942562,600,12.8500003814697,7710,28.5,30,0.375,590,0,1,8.28240278373061,5.23540550427405,5.28669603440305,1.03851903057172,8.26559566760118,0,1,-0.224748037360359,-0.390123289219081,0.693147180559945,2.31243834127275
"India",120,NA,NA,NA,4494,15,4,120048,1.79999995231628,0,65,1,2,2,5,"MD",0.719054758548737,-0.139262363314629,120048056,2012,0.121405802667141,300,12,3600,26.5,29,4,564,0,1,8.50554629974072,6.07891376428705,6.16906399560037,4.18828836838285,9.13681804722394,0,1,0.668206958940823,-0.138816104569105,1.35044071711771,3.40230664548059
"India",120,470.766,577.355273529412,0.815383562918159,4494,15,4,120048,1.79999995231628,0,63,1,2,2,5,"MD",0.0743499398231506,-0.11976070702076,120048056,2010,0.121405802667141,96,10,960,21.1200008392334,18,0,96,160,1,7.36611237544039,5.85199254358378,5.69214691481383,0,7.36611237544039,7.87693774331477,0,0.0742816096558688,-0.119476258581446,1.35044071711771,3.40230664548059
"India",131,NA,NA,NA,2537,25,1,131058,11,0,67,2,3,2,7,"LA",0.11775103956461,-1.03876948356628,131058040,2010,0.335889399051666,440,18,7920,134,72,0,1400,0,1,7.87089539585757,6.68196189401099,6.06079208308853,0,9.02834805325001,0,0,0.117480614418963,-0.908523784124828,3.09310219505083,3.91242276564126
"India",119,NA,NA,NA,3600,5,4,119039,1.07000005245209,0,52,2,3,1,6,"SM",-1.37814056873322,-0.419596433639526,119039056,2012,0.121405802667141,250,13.5,3375,21.7000007629395,28,5,654,0,1,8.32322476096154,5.87908390502612,6.13397299433776,4.41134905768846,9.28487114421419,0,1,-1.12521049114963,-0.408168100066697,0.930015239484823,2.31243834127275
"India",120,NA,NA,NA,4494,15,4,120048,1.79999995231628,0,65,1,2,2,5,"MD",0.719054758548737,-0.139262363314629,120048072,2012,0.101171500980854,250,12,3000,20.5,22,1.5,220,0,1,8.50554631201456,6.00451632833622,6.07513309354699,3.39068582299683,8.37771295243219,0,1,0.668206958940823,-0.138816104569105,1.35044071711771,3.40230664548059
"India",119,NA,NA,NA,3600,5,4,119049,0.980000019073486,0,45,2,4,2,8,"MD",0.163847401738167,-1.03876948356628,119049008,2012,0.0404686033725739,110,13.5,1485,12.6499996185303,16,1.85000002384186,245,0,1,8.60085641107006,6.4380357550076,6.67296633300073,4.51568126999412,9.40163422880638,0,1,0.163123012086764,-0.908523784124828,0.867160520452194,2.31243834127275
"India",119,NA,NA,NA,3600,5,4,119038,0.730000019073486,0,62,4,4,0,8,"SM",-1.24496173858643,-0.431173861026764,119038032,2012,0.0283280201256275,60,13.5,810,10.2399997711182,9,1.5,158,0,1,8.35139565223238,6.58335454479055,6.45427808838977,4.66260529454838,9.31964607534604,0,1,-1.04444176375027,-0.418821659592531,0.677070347336243,2.31243834127275
"India",119,470.766,577.355273529412,0.815383562918159,3600,5,4,119034,1.14999997615814,0,55,3,4,0,7,"SM",-1.17133259773254,-1.03876948356628,119034032,2010,0.109265223145485,100,11.5,1150,40,59,0,303.199996948242,0,1,7.51229477744103,6.59600561254097,6.98466259431788,0,8.62151696915115,0,0,-0.997490544500284,-0.908523784124828,0.983566138164836,2.31243834127275
"India",120,NA,NA,NA,4494,15,4,120048,1.79999995231628,0,65,1,2,2,5,"MD",0.719054758548737,-0.139262363314629,120048032,2012,0.121405802667141,300,12,3600,27,29,4,564,0,1,8.50554629974072,6.0976057047611,6.16906399560037,4.18828836838285,9.13681804722394,0,1,0.668206958940823,-0.138816104569105,1.35044071711771,3.40230664548059
"India",119,NA,NA,NA,3600,5,4,119039,1.07000005245209,0,52,2,3,1,6,"SM",-1.37814056873322,-0.419596433639526,119039072,2012,0.161874413490295,240,13.5,3240,45.9000015258789,44,5.5,800,0,1,7.9947206873925,6.34054990997649,6.29827466791583,4.21904622865916,9.19869338822442,0,1,-1.12521049114963,-0.408168100066697,0.930015239484823,2.31243834127275
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119035,0.75,0,61,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035008,2011,0.364217408001423,900,12.8500003814697,11565,36,39,1.5,690,0,1,8.50554629974072,5.28669602212983,5.36673494469047,2.12304037652067,8.23984316272177,0,1,-0.224748037360359,-0.390123289219081,0.693147180559945,2.31243834127275
"India",119,NA,NA,NA,3600,5,4,119049,0.980000019073486,0,45,2,4,2,8,"MD",0.163847401738167,-1.03876948356628,119049120,2012,0.0809372067451477,200,13.5,2700,25.5499992370605,36,4.5,490,0,1,8.50554623837149,6.44786862639459,6.79074903299795,4.71138709230995,9.40163422880638,0,1,0.163123012086764,-0.908523784124828,0.867160520452194,2.31243834127275
"India",118,464.9214,500.705052941177,0.928533469492707,3000,4.5,4,118030,1.10000002384186,0,77,3,4,1,8,"SM",-0.828986763954163,0.199576675891876,118030056,2011,0.194249287247658,600,12.8000001907349,7680,18.5,32,1,400,0,1,8.72868982097325,5.24955843279635,5.79750525433208,2.34106258875473,8.32322474561924,0,1,-0.755143439734475,0.198274990023338,0.950346945858903,2.20934770861533
"India",119,NA,NA,NA,3600,5,4,119049,0.980000019073486,0,45,2,4,2,8,"MD",0.163847401738167,-1.03876948356628,119049112,2012,0.0364217385649681,100,13.5,1350,13.9099998474121,18,2.25,243,0,1,8.61090686898866,6.63834635878363,6.89610943129875,4.81673236791553,9.49879809879382,0,1,0.163123012086764,-0.908523784124828,0.867160520452194,2.31243834127275
"India",135,NA,NA,NA,876,12,2,135033,2,0,41,1,2,0,3,"SM",-0.0413442626595497,-1.03876948356628,135033056,2012,0.607029020786285,1210,15,18150,62,175,1.5,3675,0,1,8.29070156094458,5.31948420851297,6.35711484137837,1.6364259693307,9.40163427790176,0,1,-0.0413324930880435,-0.908523784124828,1.44363547517881,3.17978543769988
"India",137,NA,NA,NA,880,13,2,137032,5,0,50,3,3,0,6,"SM",0.146980836987495,0.00720872636884451,137032032,2012,0.809372007846832,800,17,13600,227.5,75,0,5775,0,1,7.58925579508944,6.33179721417602,5.22216103859677,0,9.56593735183036,0,0,0.146456703064269,0.00720866393584279,2.31243834127275,3.25957255626292
"India",119,NA,NA,NA,3600,5,4,119049,0.980000019073486,0,45,2,4,2,8,"MD",0.163847401738167,-1.03876948356628,119049072,2012,0.101171500980854,280,13.5,3780,30.3999996185303,45,5,635,0,1,8.61887498901814,6.3985307179745,6.79074910664084,4.59362560665806,9.43771035844845,0,1,0.163123012086764,-0.908523784124828,0.867160520452194,2.31243834127275
"India",119,NA,NA,NA,3600,5,4,119038,0.730000019073486,0,62,4,4,0,8,"SM",-1.24496173858643,-0.431173861026764,119038072,2012,0.0647497624158859,150,13.5,2025,21.4500007629395,26,2,356,0,1,8.44100776890183,6.49609938719849,6.68847051673227,4.12378153908295,9.30530316734413,0,1,-1.04444176375027,-0.418821659592531,0.677070347336243,2.31243834127275
"India",135,NA,NA,NA,876,12,2,135203,0,0,46,3,4,0,7,"SM",-0.414618939161301,-1.03876948356628,135203040,2011,0.809372007846832,2412,10.8000001907349,26049.599609375,141,300,0,4550,0,1,8.69285539752708,5.8534119393577,6.60842810585616,0,9.32752633138546,0,0,-0.403574211635691,-0.908523784124828,0,3.17978543769988
"India",119,NA,NA,NA,3600,5,4,119049,0.980000019073486,0,45,2,4,2,8,"MD",0.163847401738167,-1.03876948356628,119049104,2012,0.0283280201256275,75,13.5,1012.5,10.1899995803833,12,1.5,203,0,1,8.57453918348468,6.57845977240813,6.74195907725658,4.66260529454838,9.57025701819286,0,1,0.163123012086764,-0.908523784124828,0.867160520452194,2.31243834127275
"India",118,NA,NA,NA,3000,4.5,4,118030,1.10000002384186,0,77,3,4,0,7,"SM",-0.877415418624878,0.199576675891876,118030056,2012,0.0647497624158859,255,13.6000003814697,3468,5,20,1.5,208,0,1,8.97163598949924,5.03985226333697,6.42610732209792,3.83630304801985,8.76791053214966,0,1,-0.791985425513776,0.198274990023338,0.950346945858903,2.20934770861533
"India",118,464.9214,500.705052941177,0.928533469492707,3000,4.5,4,118051,9.42000007629395,1,66,3,3,4,10,"LA",-0.158422484993935,0.499412387609482,118051008,2011,2.84089583158493,1374,12.8499994277954,17655.8994140625,103,432,46,5013,0,1,6.87451028600203,4.28394686342982,5.71746414396752,3.47862131133166,8.16881764202124,0,1,-0.157767186356991,0.48068618680239,2.93878777828196,2.20934770861533
"India",118,464.9214,500.705052941177,0.928533469492707,3000,4.5,4,118049,3.97000002861023,1,28,3,2,0,5,"MD",0.670626103878021,-0.738933801651001,118049032,2011,1.21405801177025,5100,12.8000001907349,65280,44.5,226,18,2050,0,1,9.03617453630106,4.29485392032031,5.91972091704559,3.39068582299683,8.12477386323621,0,1,0.628436557507618,-0.684270700723492,2.08741068760122,2.20934770861533
"India",123,NA,NA,NA,1410,14,1,123032,2,1,52,4,3,0,7,"SM",-0.804363667964935,0.312833160161972,123032032,2011,0.404686003923416,600,12,7200,264,10,0,585,1200,1,7.99472076103556,7.17374068268231,3.90078526077116,0,7.96940295895833,8.68786785629825,0,-0.736072082807835,0.307943047007894,1.44363547517881,3.33347758688399
"India",118,363.6663,500.705052941177,0.726308428212974,3000,4.5,4,118051,9.42000007629395,1,65,3,3,4,10,"LA",-0.121097475290298,0.199576675891876,118051056,2010,0.311608225107193,1300,11.6999998092651,15210,49,155,0,1243.45001220703,0,1,9.02927530734281,5.7509861578246,6.90258187684959,0,8.98480082839424,0,0,-0.120803437255152,0.198274990023338,2.93878777828196,2.20934770861533
"India",138,NA,NA,NA,1774,10,2,138037,1.5,1,43,2,1,2,5,"SM",-0.981662452220917,0.651672184467316,138037056,2012,0.404686003923416,632,17,10744,112.75,25,0,1200,0,1,8.04668048874091,6.32296719110508,4.81673231882658,0,8.68786785629825,0,0,-0.868347358306161,0.612625810464619,1.19476321728711,2.99822295029797
